bs_year,baishakh,jestha,ashadh,shrawan,bhadra,ashwin,kartik,mangsir,poush,magh,falgun,chaitra,source_type,source_name,source_url_or_scan,verification_status,entered_by,reviewed_by,checksum,notes
2000,30,32,31,32,31,30,30,30,29,30,29,31,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,602d6c43fc2272d22990af3ded963903df88584d4d514446598445b923772147,
2001,31,31,32,31,31,31,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,e4274386e2a9f27379544605e48b62a0cb9df4d92f27d4406f1cdf10c9a0c30f,
2002,31,31,32,32,31,30,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,9b1155f9fa0e19400b83211c55ca565b89729ffca48a00efac12bed23cc6fd69,
2003,31,32,31,32,31,30,30,30,29,29,30,31,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,dcdc716ef7026047e7223b92ecb61581dd3aa2ccd6c37a8bfead13c93c6bab91,
2004,30,32,31,32,31,30,30,30,29,30,29,31,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,9addfd94477d85fd834b5ffa6b51d1863665d585b7d6f4deb82bf859baea32e6,
2005,31,31,32,31,31,31,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,86d495120110a316d5b5cec7a8aa3dac7d6100a7b4a48275188e8e33ebddf474,
2006,31,31,32,32,31,30,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,19c7e21b382bc46563b6701e2e2ce016fccbfcca1ab4050569dda4588d0a1c92,
2007,31,32,31,32,31,30,30,30,29,29,30,31,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,99f4921b5fb6493756a6db327a686011d62cb6ded9a6830ef8e2f7958295fdb3,
2008,31,31,31,32,31,31,29,30,30,29,29,31,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,5182887fc4dde177d68d247aab7e1e12ac31ace67868f46eb448cc1b2ce69b3b,
2009,31,31,32,31,31,31,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,3afc2c5afd42bf42df5b737ceba2f6501a8b6f7765b85f3341775ea19cc521a8,
2010,31,31,32,32,31,30,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,ee46f84fe2247b35f079c8d57dd73fba55e3ba2001b8eaf1677ab040201a01f8,
2011,31,32,31,32,31,30,30,30,29,29,30,31,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,298c425cee9b7822b223a7fb9c62a3469622104ecaef5d3f8992d0006cee18d5,
2012,31,31,31,32,31,31,29,30,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,9fc911f8d5f8098a0178a8c47413de7f0044734ffed3695220a76dd4125a21ea,
2013,31,31,32,31,31,31,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,beb966cb210159f81541733133921fffc29ae61aea1569307a4899922eeab303,
2014,31,31,32,32,31,30,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,66058300b36b0891df690587fba0dca2d891d1683c061fe5060a9737d4e01e51,
2015,31,32,31,32,31,30,30,30,29,29,30,31,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,266cfb3ee828cadc5b50aa11dec23da7df58df8cf72d577d8b2560f9c600223d,
2016,31,31,31,32,31,31,29,30,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,c959a2dfdac3359be8b868317735b1bc17c8ee636a937e0aa8e431ea748111f9,
2017,31,31,32,31,31,31,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,7e6f2dafb3400a342e50816735e2c1c6a6e373e5363e4ee15781a65c36af8cd1,
2018,31,32,31,32,31,30,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,0f79a1b62add92db58f58fd8a62a37a778f7ba0e01a02fe46189e93c6c3468a7,
2019,31,32,31,32,31,30,30,30,29,30,29,31,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,a45e84eac743f8600bd29a93fa4def46b06ae3894838190662ba27cefbe43a5a,
2020,31,31,31,32,31,31,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,748c5c7cbc9e4bce69e22b213753570b9b1c9d3b269ce50dcda3b00c2a3b3407,
2021,31,31,32,31,31,31,30,29,30,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,4388516f916433757a509f26c4d2c20377a3df273fb2e9e98bbdbaf1bb5f4b1b,
2022,31,32,31,32,31,30,30,30,29,29,30,30,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,209b212dd26797a6c73525e80e8b277ebff51be2152aeb1779815d1747d60a53,
2023,31,32,31,32,31,30,30,30,29,30,29,31,third_party_reference,legacy_static_lookup_table,legacy_static_lookup_table,needs_review,system,,4c9383928345d5ad61e96db33e72b0ef41f188a9276c183abb3f33827b752083,
